movie_title,actor_1_facebook_likes,gross,language,director_name,title_year,genres,movie_facebook_likes,season,movie_imdb_link,movie_lens_rating,imdb_score,plot_keywords,aspect_ratio,num_critic_for_reviews,country,duration,facenumber_in_poster,director_facebook_likes,week_day,actor_3_name,num_user_for_reviews,color,date,cast_total_facebook_likes,actor_2_name,actor_3_facebook_likes,num_voted_users,actor_1_name,actor_2_facebook_likes,budget
Boys Dont Cry,173,11533945,English,Kimberly Peirce,1999,Biography|Crime|Drama|Romance,0,spring,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,3,7.6,drinking|female dressed as male|love|nebraska|transgender,1.85,123,USA,118,0,108,4,Jeannetta Arnette,434,Color,3/31/2000 0:00,563,Brendan Sexton III,103,77551,Alicia Goranson,148,2000000
Bram Stokers Dracula,18000,82522790,English,Francis Ford Coppola,1992,Fantasy|Horror|Romance,14000,fall,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,1,7.5,dracula|horror movie remake|maze|monster sex|vampire,1.85,181,USA,155,0,0,4,Gary Oldman,654,Color,11/13/1992 0:00,42220,Anthony Hopkins,10000,143835,Keanu Reeves,12000,40000000
Breakin All the Rules,911,11827301,English,Daniel Taplitz,2004,Comedy|Romance,266,spring,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,4,5.5,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,2.35,39,USA,85,1,2,4,Patrick Cranshaw,26,Color,5/14/2004 0:00,1345,Tate Taylor,127,4247,Jennifer Esposito,150,
Bridget Joness Diary,14000,71500556,English,Sharon Maguire,2001,Comedy|Drama|Romance,0,spring,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,4,6.7,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,2.35,168,UK,97,3,11,4,Shirley Henderson,571,Color,4/13/2001 0:00,16999,Jim Broadbent,887,171568,Colin Firth,1000,26000000
Brooklyns Finest,3000,27154426,English,Antoine Fuqua,2009,Crime|Drama|Thriller,4000,winter,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,3,6.7,catholic|corrupt cop|new york city|police detective|police officer killed,2.35,197,USA,132,1,847,4,Armando Riesco,138,Color,3/5/2010 0:00,6317,Lili Taylor,625,52852,Don Cheadle,960,17000000
Buffalo 66,1000,2365931,English,Vincent Gallo,1998,Comedy|Crime|Drama|Romance,0,summer,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,2,7.5,shower|stripper|tap dancing|underwear|undressing,1.85,106,USA,110,2,787,4,Jan-Michael Vincent,318,Color,6/26/1998 0:00,4762,Vincent Gallo,642,36657,Anjelica Huston,787,1500000
But Im a Cheerleader,1000,2199853,English,Jamie Babbit,1999,Comedy|Drama,0,summer,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,5,6.6,cheerleader|gay|homosexual|lesbian|lesbian relationship,1.85,99,USA,85,1,91,4,Eddie Cibrian,186,Color,8/11/2000 0:00,4289,Clea DuVall,849,19986,Natasha Lyonne,1000,1200000
Cant Hardly Wait,982,25339117,English,Harry Elfont,1998,Comedy|Romance,0,spring,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,2.5,6.5,graduation|high school|letter|nerd|party,1.85,76,USA,100,4,4,4,Charlie Korsmo,247,Color,6/12/1998 0:00,4259,Lauren Ambrose,678,37885,Ethan Embry,945,10000000
Cant Stop the Music,801,2000000,English,Nancy Walker,1980,Biography|Comedy|Musical,1000,summer,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,4,4.5,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,2.35,26,USA,124,0,42,4,Caitlyn Jenner,74,Color,6/20/1980 0:00,1462,Randy Jones,161,2998,Steve Guttenberg,174,20000000
Captain Corellis Mandolin,23000,25528495,English,John Madden,2001,Drama|Music|Romance|War,0,summer,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,3,5.9,captain|greek|island|italian|love,2.35,96,UK,131,2,108,4,Mihalis Giannatos,220,Color,8/17/2001 0:00,23325,Irene Papas,58,28099,Christian Bale,243,57000000
Cats Dont Dance,3000,3562749,English,Mark Dindal,1997,Animation|Comedy|Family|Fantasy|Musical,643,spring,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,3.5,6.9,animal|cat|child star|hollywood|star,1.33,18,USA,75,0,10,2,Hal Holbrook,49,Color,3/26/1997 0:00,7394,Frank Welker,826,5600,George Kennedy,2000,32000000
Charlie Wilsons War,22000,66636385,English,Mike Nichols,2007,Biography|Comedy|Drama|History,0,winter,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,0.5,7.1,afghanistan|arms dealer|based on true story|cia|texas,1.85,269,USA,102,1,0,4,Jud Tylor,289,Color,12/21/2007 0:00,60646,Tom Hanks,15000,88451,Philip Seymour Hoffman,15000,75000000
Charlies Angels: Full Throttle,2000,100685880,English,McG,2003,Action|Adventure|Comedy|Crime,0,summer,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,0.5,4.8,fbi|murder|ring|witness protection|witness protection program,2.35,102,USA,107,0,368,4,Justin Theroux,554,Color,6/27/2003 0:00,4046,Bernie Mac,1000,100821,Demi Moore,1000,120000000
Charlies Angels,13000,125305545,English,McG,2000,Action|Adventure|Comedy|Crime|Thriller,0,fall,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,3,5.5,booty shake|box office hit|duct tape over mouth|first part|martial arts,2.35,181,USA,94,0,368,4,Kelly Lynch,643,Color,11/3/2000 0:00,15419,LL Cool J,466,145350,Bill Murray,1000,92000000
Charlottes We,12000,82506325,English,Gary Winick,2006,Comedy|Family|Fantasy,0,fall,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,2,6.4,barn|pig|piglet|spider|uncle,1.85,120,USA,97,0,56,4,Oprah Winfrey,102,Color,12/15/2006 0:00,23907,Julia Roberts,852,27838,Steve Buscemi,8000,
Childs Play 2,659,28501605,English,John Lafia,1990,Fantasy|Horror,0,fall,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,0.5,5.7,boy|doll|foster home|killer doll|serial killer,1.85,59,USA,72,0,5,4,Greg Germann,166,Color,11/9/1990 0:00,2646,Beth Grant,435,31371,Jenny Agutter,628,13000000
Childs Play,311,33244684,English,Tom Holland,1988,Fantasy|Horror,0,fall,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,4,6.5,birthday|doll|murder|serial killer|voodoo,1.85,142,USA,87,0,85,2,Dinah Manoff,281,Color,11/9/1988 0:00,760,Alex Vincent,118,62038,Catherine Hicks,189,9000000
Cirque du Freak: The Vampires Assistant,14000,13838130,English,Paul Weitz,2009,Action|Adventure|Fantasy|Thriller,0,fall,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,4,5.9,antidote|based on young adult novel|flyer|spider|vampire,2.35,157,USA,109,3,80,4,Patrick Fugit,157,Color,10/23/2009 0:00,20503,Salma Hayek,835,35990,Josh Hutcherson,4000,40000000
Coal Miners Daughter,874,79900000,English,Michael Apted,1980,Biography|Drama|Music|Musical,0,winter,http://www.imdb.com/title/tt0080549/?ref_=fn_tt_tt_1,2,7.5,country music|kissing while having sex|poverty|singer|title based on song,1.85,46,USA,124,0,150,4,Levon Helm,84,Color,3/7/1980 0:00,2667,Beverly DAngelo,572,12974,Sissy Spacek,816,
Daddys Home,8000,150315155,English,Sean Anders,2015,Comedy|Family,13000,winter,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,0.5,6.1,biological father|dad|drinking|product placement|wilhelm scream,1.85,145,USA,96,2,51,4,Mark L. Young,130,Color,12/25/2015 0:00,10886,Linda Cardellini,322,54010,Will Ferrell,2000,50000000
Dancin Its On,551,,English,David Winters,2015,Family|Musical,634,fall,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,3.5,2.8,,,3,USA,89,6,49,4,Ginger Jensen,7,Color,10/30/2015 0:00,895,Matt Marr,84,105,Gary Daniels,85,12000000
Dantes Peak,650,67155742,English,Roger Donaldson,1997,Action|Adventure|Thriller,0,winter,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1,3,5.8,ash|escape|lava|mayor|volcano,2.35,93,USA,108,1,79,4,Tzi Ma,277,Color,2/7/1997 0:00,1569,Grant Heslov,268,62271,Jamie Ren\xc3\xa9e Smith,293,116000000
Dave Chappelles Block Party,989,11694528,English,Michel Gondry,2005,Comedy|Documentary|Music,635,winter,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,2.5,7.2,block party|marching band|neighborhood|new york city|tyrannosaurus rex,1.85,114,USA,100,0,1000,4,Lauryn Hill,72,Color,3/3/2006 0:00,2165,Dave Chappelle,220,7721,Common,744,3000000
Dead Mans Shoes,680,6013,English,Shane Meadows,2004,Crime|Drama|Thriller,0,Fail,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,3,7.7,anger|army veteran|independent film|revenge|sex scene,1.85,99,UK,90,0,222,No_Date,George Newton,207, Black and White,No date,1311,Gary Stretch,68,39929,Paddy Considine,404,695393
Devils Due,971,15818967,English,Matt Bettinelli-Olpin,2014,Horror|Mystery,0,winter,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,4,4,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,1.85,137,USA,89,0,14,4,Vanessa Ray,120,Color,1/17/2014 0:00,2517,Allison Miller,270,13913,Zach Gilford,479,7000000
Doc Hollidays Revenge,10000,,English,David DeCoteau,2014,Western,54,spring,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,5,3.8,1880s|cowboy|low budget film|shoot out|wild west,1.78,1,USA,84,3,142,6,Randy Jay Burrell,6,Color,6/1/2014 0:00,11466,Tom Berenger,402,93,William McNamara,854,1000000
Donovans Reef,756,,English,John Ford,1963,Adventure|Comedy|Romance,573,spring,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,4.5,6.9,falling into water|medical doctor|priest|roof leak|swimming in the ocean,1.85,27,USA,109,1,673,2,Jack Warden,65,Color,6/12/1963 0:00,1949,Cesar Romero,359,5786,Lee Marvin,370,2686585
Dont Be Afraid of the Dark,3000,24042490,English,Troy Nixey,2010,Fantasy|Horror|Thriller,10000,summer,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,1,5.6,basement|creature|disappearance|interior designer|mansion,1.85,298,USA,99,1,24,4,Jack Thompson,250,Color,8/26/2011 0:00,3744,Alan Dale,155,40776,Bailee Madison,441,25000000
Dont Say a Word,1000,54997476,English,Gary Fleder,2001,Crime|Drama|Mystery|Thriller,970,fall,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,4,6.3,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,2.35,113,USA,113,0,39,4,Conrad Goode,248,Color,9/28/2001 0:00,3341,Jennifer Esposito,477,40362,Oliver Platt,912,50000000
Dougs 1st Movie,2000,19421271,English,Maurice Joyce,1999,Animation|Comedy|Family,122,spring,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,1,5,dance|friend|monster|reference to batman|valentine,1.33,28,USA,77,1,0,4,Alice Playten,18,Color,3/26/1999 0:00,2908,Constance Shulman,73,2448,Frank Welker,804,5000000
Dracula: Pages from a Virgins Diary,14,39659,English,Guy Maddin,2002,Comedy|Horror|Musical,131,Fail,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,,7,ballet|cult film|dance|dracula|gothic,1.85,58,Canada,73,1,126,No_Date,Brent Neale,32, Black and White,No date,21,CindyMarie Small,3,1555,Sarah Murphy-Dyson,4,1600000
Dragon Nest: Warriors Dawn,76,,English,Yuefeng Song,2014,Adventure|Animation|Family|Fantasy,0,Fail,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,,6.4,,,4,China,88,0,0,No_Date,Jiao Xu,18,Color,No date,196,Bianca Collins,46,2169,Blythe Auffarth,47,40000000
"Dude, Wheres My Car?",3000,46729374,English,Danny Leiner,2000,Comedy|Mystery,0,fall,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,3,5.5,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,1.37,106,USA,83,2,8,4,Marla Sokoloff,469,Color,12/15/2000 0:00,6454,Mary Lynn Rajsku,612,116625,Jennifer Garner,934,13000000
"Dude, Wheres My Dog?!",143,,English,Stephen Langford,2014,Family,178,spring,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,,3.2,,1.85,2,USA,82,0,7,1,Brandon Middleton,4,Color,6/17/2014 0:00,417,Gabriela Castillo,50,73,Kevin P. Farley,134,20000
Enders Game,11000,61656849,English,Gavin Hood,2013,Action|Sci-Fi,123000,fall,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1,,6.7,alien|future|manipulation|simulation|training,2.35,326,USA,114,4,151,4,Aramis Knight,554,Color,11/1/2013 0:00,12908,Moises Arias,430,184561,Harrison Ford,635,110000000
Everybodys Fine,22000,8855646,English,Kirk Jones,2009,Adventure|Drama,10000,fall,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,0.5,7.2,bus trip|parental love|retirement|surprise visit|train ride,2.35,160,USA,99,1,52,4,Brendan Sexton III,117,Color,12/4/2009 0:00,23409,James Frain,148,49855,Robert De Niro,1000,21000000
Eves Bayou,2000,14821531,English,Kasi Lemmons,1997,Drama,599,fall,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,1,7.3,doctor|louisiana|secret|title directed by female|witchcraft,1.85,31,USA,109,2,148,4,Diahann Carroll,209,Color,11/7/1997 0:00,3843,Lynn Whitfield,426,6915,Jurnee Smollett-Bell,434,6000000
Felicias Journey,5000,819852,English,Atom Egoyan,1999,Drama|Thriller,284,fall,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,,7,caterer|catering|chef|friend|lawn mower,2.35,95,Canada,116,0,460,2,Gerard McSorley,83,Color,11/24/1999 0:00,5426,Elaine Cassidy,71,6690,Bob Hoskins,203,
Fools Gold,11000,70224196,English,Andy Tennant,2008,Action|Adventure|Comedy|Romance|Thriller,0,winter,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,2.5,5.6,debt|rapper|treasure|treasure hunter|yacht,2.35,176,USA,112,0,72,4,Alexis Dziena,138,Color,2/8/2008 0:00,13827,Ray Winstone,715,59352,Matthew McConaughey,1000,70000000
Freddys Dead: The Final Nightmare,40000,34872293,English,Rachel Talalay,1991,Comedy|Fantasy|Horror|Thriller,963,summer,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,,4.9,dark comedy|dream|freddy krueger|nightmare|serial murder,1.85,91,USA,93,0,54,4,Yaphet Kotto,252,Color,9/13/1991 0:00,42002,Tom Arnold,581,30765,Johnny Depp,618,8500000
Gangsters Paradise: Jerusalema,29,4958,English,Ralph Ziman,2008,Action|Crime|Drama,1000,Fail,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,2,7.8,carjacking|drug lord|johannesburg south africa|police|post apartheid,2.35,30,South Africa,119,2,5,No weekday,Robert Hobbs,23,Color,No date,86,Kenneth Nkosi,12,9689,Rapulana Seiphemo,18,2000000
Gentlemans Agreement,936,,English,Elia Kazan,1947,Drama|Romance,0,Fail,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,3,7.4,bigotry|jewish|prejudice|racism|writer,1.37,61,USA,118,3,603,No weekday,John Garfield,113, Black and White,No date,1846,Celeste Holm,167,10791,Dean Stockwell,297,2000000
Get Rich or Die Tryin,1000,30981850,English,Jim Sheridan,2005,Biography|Crime|Drama|Music,0,fall,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,4.5,5,male frontal nudity|male pubic hair|prison|pubic hair|violence,2.35,98,USA,117,0,260,2,Marc John Jefferies,284,Color,11/9/2005 0:00,3969,Bill Duke,441,35834,50 Cent,1000,40000000
Gods Not Dead 2,634,20773070,English,Harold Cronk,2016,Drama,0,spring,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,1,3.4,alternate universe|christian|christian film|christianity|manipulation,2.35,29,USA,120,11,18,4,Maria Canals-Barrera,102,Color,4/1/2016 0:00,1810,Robin Givens,295,4501,Benjamin A. Onyango,420,5000000
Grandmas Boy,2000,6088249,English,Nicholaus Goossen,2006,Comedy,0,winter,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,1,7,co worker|game tester|loss of virginity|roommate|snack,2.35,61,USA,90,0,4,4,Shirley Jones,202,Color,1/6/2006 0:00,5202,Joel David Moore,556,67853,Linda Cardellini,936,
Gullivers Travels,480,42776259,English,Rob Letterman,2010,Adventure|Comedy|Family|Fantasy,0,winter,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,,4.9,bermuda triangle|box office hit|shipwrecked|travel|travel writer,2.35,184,USA,85,1,11,5,Olly Alexander,121,Color,12/25/2010 0:00,1173,Catherine Tate,116,53160,James Corden,392,112000000
Hachi: A Dogs Tale,1000,,English,Lasse Hallstr\xc3\xb6m,2009,Drama|Family,115000,winter,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,3,8.1,dog|human animal relationship|japanese|loyalty|waiting,1.85,84,USA,93,0,529,4,Joan Allen,304,Color,3/12/2010 0:00,4453,Sarah Roemer,805,155249,Cary-Hiroyuki Tagawa,884,16000000
Hang Em High,16000,,English,Ted Post,1968,Western,0,summer,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,2,7,imperative in title|judge|marshal|murder|vigilante,1.85,26,USA,114,3,57,5,Alan Hale Jr.,109,Color,8/3/1968 0:00,18263,Bruce Dern,426,25472,Clint Eastwood,844,1800000
